Ref,Val,Package,PosX,PosY,Rot,Side
"CN1","SM10B-SRSS-TB_(LF)(SN)","CONN-SMD_10P-P1.00_SM10B-SRSS-TB-LF-SN",114.002000,-204.635000,270.000000,top
"CN2","SM10B-SRSS-TB_(LF)(SN)","CONN-SMD_10P-P1.00_SM10B-SRSS-TB-LF-SN",114.002000,-81.435000,270.000000,top
"Q1","NUD3160LT","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",50.002000,-135.635000,0.000000,top
"Q2","NUD3160LT","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",50.002000,-145.635000,0.000000,top
"Q3","NUD3160LT","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",50.002000,-155.635000,0.000000,top
"U1","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",9.002000,-233.635000,0.000000,top
"U2","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",69.002000,-233.635000,0.000000,top
"U3","SM03B-SRSS-TB(LF)(SN)(P)","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",-50.998000,-233.635000,0.000000,top
